::SedmidubskyBDZ08 ::22850545 
::Shrira ::1608 
::Gyllstrom ::R 
::Replicated ::Ruoming 
::ChaudhuriGKLLM98 ::84 
::DimitrovaG94 ::Lakshmanan 
::CandanHS98 ::Yue 
::15310235abs ::MannilaR94 
::Bates ::4497508 
::BerchtoldBBKK97 ::Partition 
::1140 ::Anomalies 
::Voronkov ::Reviewers 
::Path ::Consistent 
::Sheth ::Suresh 
::15310663abs ::Balaporia 
::DakkaI08 ::Learning 
::Mengchi ::Remote 
::ChakravarthyL98 ::Tomography 
::JohnsonS97 ::249 
::1551 ::Jacobsen 
::Chakrabarti ::914808 
::158 ::Changing 
::ChaudhuriGKLLM98 ::debu 
::Krishnamurthy ::Shantanu 
::Projected ::Mudumbai 
::Bursty ::Gjergji 
::Antoshenkov93 ::once 
::417 ::335 
::22850545 ::Ramy 
::Rimma ::Junghoo 
::Matthew ::Heiler 
::ChenC08 ::Invariant 
::kl ::SismanisR05 
::13 ::Isoline 
::Operators ::Compression 
::LinD98 ::Closure 
::Zaharioudakis ::Seidel90 
::Light ::ShethR93 
::GADT ::Yee 
::MahajanDNAM98 ::Liangzhong 
::Evaggelia ::Keim 
::YangWWY02 ::Hallett 
::Knuth73 ::Martinenghi 
::1316 ::957 
::Approach ::Made 
::Minji ::4497526 
::1544 ::1266 
::Implicated ::4497547 
::DeRoseCGSDBZ08 ::KimP88 
::Lupu ::Kalogeraki 
::Signatures ::Gunopulos 
::Alper ::22851073abs 
::HenrichSW89 ::Incorporating 
::Folding ::402 
::4497494 ::Baker 
::Online ::Identifiers 
::Henrich ::Sudipto 
::Dao ::Aleksandra 
::MachanavajjhalaGKV06 ::Hakan 
::Joxan ::Ryan 
::CocciTDS08 ::Graciela 
::MannilaT97 ::PolyzotisG06 
::280 ::Measuring 
::AraiDGK06 ::186 
::Skylines ::SilbersteinBEMY06 
::MadhavanBDH05 ::Liedes 
::Scheme ::22850081abs 
::P294 ::Negative 
::Indicators ::SlidingWindow 
::Marts ::Prasad 
::Amarnath ::Snodgrass95 
::Draper01 ::P446 
::DeWittNS91 ::dpd 
::Anne ::532 
::1114 ::P066 
::Elghandour ::Russakovsky 
::4497435 ::4497560 
::P182 ::Footprint 
::Guang ::540 
::457 ::4497479 
::Mirek ::Daniel 
::Arbee ::Author 
::DayDIKG95 ::Pucheral 
::Principled ::Knig 
::P392 ::Lijiang 
::22851102abs ::Moshchuk 
::Srini ::Platforms 
::Antova ::Push 
::AggarwalY08b ::Cui 
::Azar ::Arijit 
::Master ::Mengchi 
::Yoshinori ::Xuqing 
::PapadiasTKZ02 ::AbiteboulMZ08 
::KhoussainovaBS08 ::t 
::Geometric ::325 
::350 ::DozierSF94 
::Gertz ::Mehmet 
::I ::Houman 
::SherkatR06 ::Rewriting 
::Rantzau ::Spatscheck 
::AcharyaGJKST08 ::SNAP 
::127 ::GuPYC08 
::Schallehn ::WangHLS06 
::Rabindra ::MukherjeeRS05 
::PeiHPCDH01 ::4497627 
::Independent ::HanF95 
::Bhattacharya ::Concept 
::4497494 ::ChanSL98 
::Reviewers ::Physical 
::Yang ::0002 
::Inseok ::Balaji 
::Renz ::Timos 
::Leonid ::ADEPT2 
::Shkapenyuk ::WhiteJ96 
::4497601 ::Dik 
::169 ::Mauricio 
::Aidong ::Ruddy 
::4497454 ::Berners 
::Evangelos ::Riedewald 
::KuwabaraT05 ::Ansorge 
::Yap ::Protection 
::AdaliCPS96 ::244 
::via ::22850978abs 
::Uncovering ::Rost 
::algorithmica ::CobenaAM02 
::Yufei ::Manuel 
::Batra ::325 
::Shinjiro ::Sattler 
::Hang ::Melliyal 
::Csar ::587 
::SeegerK90 ::Panella 
::Eket ::WangBTD08 
::Polyviou ::1277 
::Extracting ::BalkeNST05 
::Specification ::granularity 
::JeungLSZ08 ::Jiangchuan 
::MohanPL92 ::Xinqiang 
::Qian96 ::FayyadPS96 
::Jignesh ::Execution 
::Biton ::YangP08 
::Hershberger ::Liadan 
::Dohnal ::LiBRHCN05 
::Nakhe ::Tania 
::522 ::Ganesan 
::GADT ::Shah 
::FernandezFLS97 ::MDL 
::Captivity ::Directory 
::QShuffler ::KornackerMH97 
::22851122abs ::Stabbing 
::4497587 ::Haruo 
::232 ::KoudasS05 
::Tomasic ::Ntoulas 
::Exemplar ::Agma 
::Yingqi ::Kumaran 
::PapadimitriouRR94 ::26 
::Meichun ::AggarwalY08b 
::Kreutz ::218 
::Simultaneous ::RamanathZFH05 
::Represented ::Liao 
::234 ::Ives 
::862 ::Olga 
::4497587 ::XQuery 
::SpaceTwist ::AbiteboulMP05 
::PanZW08 ::Simoudis 
::Relative ::Shinjiro 
::Idreos ::T 
::Vilhuber ::Systems 
::Marcin ::472 
::Eike ::1121 
::578 ::1447 
::Grtner ::SrivastavaHMKT06 
::Mohammed ::ETL 
::FungWY05 ::GabberK98 
::through ::Nguyen 
::22850261abs ::1277 
::LeeSZ05 ::103 
::SPEX ::P550 
::avi ::Pfeifle 
::Text ::IshikawaK93 
::Picture ::ebXML 
::James ::Influence 
::Easy ::HermanGLW87 
::TheodoridisP95 ::4497441 
::Kapantaidakis ::http 
::Pryakhin ::123 
::22850217abs ::Optimizer 
::Yuen ::1209 
::Theoretic ::914841 
::Keijzer ::temporal 
::Gustavo ::P486 
::AssentWMS08 ::Johannes 
::186 ::J 
::BancilhonKK85 ::4497443 
::Party ::KreveldO91 
::1336 ::IHE 
::Natix ::Portal 
::AlomariCFR08 ::XGRIND 
::IwenLP08 ::Condit 
::545 ::Tuzhilin 
::ride ::VaidyaC05 
::Luigi ::SankaranarayananAS06 
::Mihai ::1442 
::1408 ::914852 
::4497505 ::Lucian 
::Xingquan ::LittleAFGRSV93 
::Sueda ::59 
::Suleiman ::1287 
::Dasgupta ::Simplicity 
::234 ::813 
::CQ ::Study 
::Ji ::P259 
::1139 ::Arie 
::Amarjeet ::1394 
::Gsta ::Chiu 
::Soumen ::ZhangYST06 
::BanerjeeC96 ::Replicated 
::Bhat ::AtzeniCB05 
::Stefanakis ::1551 
::Rahm92 ::YiLHKS08 
::143 ::Hammad 
::WolskiKP96 ::Porto 
::Qin ::Materialization 
::Rosa ::Miss 
::NguyenKF08 ::NguyenD08 
::DogacBO06 ::Closure 
::Periklis ::Ahn08 
::P2P ::Buffering 
::Rabindra ::Gsta 
::Harizopoulos ::BittonMT89 
::LieuwenD91 ::Ma 
::Asynchronous ::982 
::Back ::Administration 
::Filho ::Bei 
::Construction ::Physical 
::ZhangOAI06 ::LaiTB05 
::Signatures ::Sensor 
::302 ::102 
::GrayR93 ::Accessible 
::EltabakhOAELASB08 ::Yaping 
::1083 ::Thaden 
::isca ::ChoR02 
::PadmanabhanAMJ01 ::Neeraj 
::Harald ::1120 
::Keyword ::scheme 
::Geoinformation ::TianP08 
::Product ::KemperM90 
::370 ::jiis 
::Xifeng ::CruzALRZ97 
::Subscribe ::883 
::22851115 ::RuemmlerW93 
::GartnerKKZ01 ::HernandezPVMNH02 
::BryCDFOS05 ::4497590 
::Gene ::Approaches 
::Yasushi ::DarFJST96 
::641 ::Iwen 
::Correlated ::Ahmet 
::554 ::Ipeirotis 
::1239 ::Preaggregation 
::Gadia86 ::DanielsSHLMWW82 
::XStream ::GrayBLP96 
::Shneidman ::Laurent 
::Chung ::Annamalai 
::1615 ::Shinjiro 
::Dong ::Referential 
::341 ::Guy 
::BernsteinL96 ::Tan 
::Musicant ::FaloutsosB93 
::Integratio ::4497620 
::Kambhampati ::Advances 
::XiaZT08 ::Ramamirtham 
::22851147 ::MalikBC05 
::627 ::Shouke 
::Euthimios ::EvangelidisLS95 
::4497515 ::Hartmut 
::JainS94 ::Gyu 
::CASTLE ::Unsafe 
::Interval ::Aoying 
::AndresO98 ::Yihong 
::Materialization ::15310262 
::HollandG92 ::15310567abs 
::Equi ::Shuqing 
::584 ::Column 
::Bradley ::FaloutsosL95 
::SchallehnSS02 ::Solutions 
::4497593 ::22851001abs 
::CareyHSACFFLNPTWW95 ::Mapping 
::Harinarayan ::914874 
::Shuai ::Expiration 
::136 ::BargaLW02 
::765 ::Clusterin 
::Munir ::1552 
::Denzel ::Notification 
::Propagation ::tree 
::Warehouse ::BouazizKPW97 
::FeeleyMPKL95 ::Morzy93 
::1418 ::P046 
::Scenarios ::Dennis 
::914855 ::4497450 
::Jensen ::56 
::CastellanosCSD05 ::22 
::Yipu ::29 
::AmarmendAK06 ::k 
::Jeong ::SlidingWindow 
::HenrichHSW91 ::Brown 
::555 ::4497436 
::Legaria ::813 
::ChenWWM06 ::Telematics 
::Hardware ::Rittinger 
::Weaver ::Kaushik 
::ShashaLSV95 ::Sriram 
::Telle ::22850927abs 
::Hanan ::Toman96 
::4497577 ::Ashish 
::Comer79 ::Cole 
::Oracle8 ::YiN05 
::Mema ::22851118abs 
::EmekciAAG06 ::4497628 
::MannilaR87 ::594 
::Bianca ::476 
::Fei ::LuoNE02 
::Nobutoshi ::1619 
::PopekK79 ::SUBSKY 
::ZhangLXKW06 ::StockerKBK01 
::Aggregation ::Frank 
::Mengzhi ::BouganimFV96 
::Output ::Mohamed 
::ichi ::Sameer 
::Redbrick ::1327 
::Nanni ::Ikeda 
::LoR96 ::Yueguo 
::HeZC05 ::Mingzhe 
::500 ::CluetD92 
::717 ::Selecting 
::Korolova ::Chien 
::4497515 ::Inverted 
::485 ::Wing 
::1397 ::Visualizing 
::BabuDM08 ::Its 
::Renato ::Jonas 
::Choreographies ::Leong 
::Percy ::F 
::HuaPZL08 ::Balanced 
::Partially ::Puzzle 
::Security ::10010071abs 
::Smoothing ::Nicole 
::Collaboration ::10010131abs 
::dblp ::914810 
::SismanisR05 ::Thalhammer 
::Rajkumar ::Zhiping 
::Fatma ::Malin 
::Orenstein89 ::Dunja 
::Ramakrishna ::914828 
::meets ::Ewen 
::Schlimmer93 ::Update 
::Kyu ::22850680abs 
::Logging ::214 
::258 ::MAFIA 
::436 ::Ippokratis 
::565 ::Chasing 
::cj ::dl 
::Ku ::22851001abs 
::HouleS05 ::bda 
::PattersonBA08 ::Yokota 
::Suhre ::Scheuer 
::Real ::1512 
::ViteX ::Lochovsky 
::Parallelizing ::LeeLL06 
::56 ::1556 
::Adam ::15310261 
::160 ::Yeol 
::Oguchi ::Practical 
::Stop ::KapitskaiaTV97 
::Srinivas ::Dinesh 
::Orphan ::Roitman 
::ChanFGR02 ::Cruz92 
::641 ::YipCN05 
::Kjetil ::Ester 
::IvanovaKN08 ::RoitmanGR08a 
::Multi ::Scene 
::StearnsR81 ::CareyFLS91 
::Index ::641 
::Prodromos ::IMAX 
::Fudos ::Characterizing 
::Kashani ::Chatziantoniou 
::26 ::level 
::Markus ::FLAME 
::Sequences ::dke 
::SquicciariniPB08 ::516 
::Paton ::Arjen 
::Papotti ::Forms 
::Psaila ::P086 
::ebXML ::Borkar 
::Hao ::TaninHS05 
::212 ::Yuhui 
::615 ::Farfn 
::Allen83 ::WangZZ06 
::Willem ::Felber 
::4497451 ::Salzberg 
::Khalefa ::1524 
::Lattice ::AbiteboulMB08 
::Janne ::152 
::ManolescuP05 ::143 
::39 ::Borealis 
::Henry ::Synchronization 
::15310639abs ::ai 
::Referential ::IP 
::LeFevre ::22851147 
::CammertHKRSSZ06 ::914834 
::Carla ::Miller 
::Mendelzon ::Internal 
::Alvaro ::1134 
::Represented ::Tsotras 
::Kenneth ::JayapandianJ06 
::Ugur ::Approach 
::Redbrick ::HernandezPVMNH02 
::4497525 ::DogacBO06 
::1132 ::Batched 
::X05t ::Son 
::LieuwenD92 ::1083 
::YouPL05 ::1180 
::Xueqing ::10010143abs 
::EderL95 ::Calisto 
::GardarinGT95 ::4497601 
::P174 ::4497488 
::P ::1451 
::Patel ::Peiya 
::Sequencing ::Gukal 
::Hung ::Symbolic 
::Relevance ::15310273 
::1473 ::Bakalov 
::granularity ::528 
::P334 ::94 
::Jianping ::Maintenance 
::Domains ::Gsta 
::Conditional ::Mengsheng 
::Stahl98 ::Bernstein 
::1372 ::0003 
::Master ::155 
::Betty ::22850518abs 
::Integrate ::Franklin 
::Elmasri ::SarawagiS94 
::22850841abs ::22850490abs 
::fAST ::646 
::Weiyi ::Lohman 
::Fatma ::Jianneng 
::AbiteboulMPPS08 ::Motwani 
::Tok ::KonopnickiS95 
::Heinlein01 ::Ivan 
::Changing ::P578 
::Tuning ::Stack 
::Baile ::Pawel 
::308 ::Bosworth01 
::XCluster ::Krkkinen 
::362 ::Optimal 
::Z ::ArefCEFGHIMPRTTTVZ02 
::Bausch ::Bhm 
::22850329abs ::1491 
::ZhouW08 ::155 
::DeRoseCGSDBZ08 ::Selections 
::1340 ::Chang82 
::Abul ::X05p 
::Shinjiro ::PC 
::Zeeshan ::AggarwalY08b 
::Hsu ::MarianAKS05 
::Kristin ::1140 
::977 ::Errors 
::WangYM01 ::AITVS 
::Vasileios ::Muse 
::22850533abs ::Polynomial 
::Display ::Kazumi 
::22851141 ::1543 
::Local ::BernsteinL96 
::1219 ::Lead 
::602 ::their 
::HuaPZL08 ::Haggai 
::Nikolaus ::Defined 
::Delcambre ::RoussopoulosKV95 
::PGM ::Sengar 
::HeXYY05 ::Sndor 
::Xifeng ::Ishikawa 
::15310029abs ::Arjen 
::WuCL08 ::Obermair 
::Thu ::P486 
::Weikum91 ::717 
::367 ::1306 
::914832 ::ups 
::CammertHKRSSZ06 ::Availability 
::Correction ::Processors 
::Shuang ::Graefe 
::Coarse ::4497418 
::Closed ::Miah 
::Margo ::Zoupanos 
::Warehouses ::OrensteinM84 
::Kalnis ::Keim 
::X05o ::GoldsteinRS98 
::22850939abs ::MogiK96 
::P599 ::Prodromos 
::WiwatwattanaJLS06 ::LangOS97 
::22851106 ::MachanavajjhalaKAGV08 
::Dimensional ::1524 
::ChuaR95 ::Molina02 
::Presentations ::Paradigm 
::StonebrakerADLO94 ::Cross 
::artdb ::Geometric 
::Collaborative ::Three 
::914870 ::Joan 
::Zhang ::4497508 
::Algebraic ::Hulgeri 
::Seeger ::Shafiq 
::Hidden ::Houman 
::MudumbaiSSPB98 ::Shneidman 
::4497552 ::Tao 
::Nakano ::Farfn 
::101 ::Hierarchies 
::1147 ::BouganimDV96 
::4497627 ::ChenDYR08 
::224 ::Paolo 
::Ding ::Hsiao92 
::Wichterich ::CarterBZ95 
::Hristidis ::Sellis 
::Correctness ::WuK05 
::1531 ::Marian 
::compcon ::Microarray 
::Moshe ::Honishi 
::Acyclic ::270 
::Getting ::Fabian 
::358 ::Schek 
::Jindan ::GryzSZZ01 
::813 ::Combining 
::Surface ::KuskinOHHSGCNBHGRH94 
::P392 ::963 
::Broken ::leeuwen90 
::Sikka ::291 
::COLR ::db 
::Lavelle ::Malik 
::Kedar ::LivnyRBCDLMW97 
::Wilfred ::YaminiG05 
::AbiteboulHB99 ::CosmadakisKV90 
::4497615 ::Extended 
::XuEKS98 ::Elfeky 
::Chengyu ::ieeemm 
::Warehouses ::KimPC01 
::ParkKL01 ::Ling 
::Schning ::Biton 
::1492 ::Prioritization 
::Timely ::Lupu 
::Mi ::Andrew 
::Zdonik ::914842 
::Draper ::DeFazio01 
::MolinaGS96 ::Characterizing 
::KhalifaJPWKS02 ::Danzhou 
::BrunoGM02 ::Hibino 
::Sistla ::IvesT08 
::Framework ::Inclusion 
::Debate ::JiangMCS08 
::Mitchell ::Check 
::Tag ::SilbersteinBEMY06 
::22850564abs ::Negative 
::Hideo ::22850841abs 
::Sundaresan ::Among 
::Nejdl ::Web 
::DennyF06 ::tcs 
::Ramakrishna ::22850020abs 
::Uncovering ::ArefCEFGHIMPRTTTVZ02 
::Mihai ::Heterogeneous 
::Koh ::1467 
::15310453 ::SametA95 
::Gail ::Imperatives 
::Pajarola ::Campi 
::Cleaning ::Hakan 
::550 ::992 
::1424 ::Dictionary 
::Vishal ::Raschid 
::WangCPFM02 ::502 
::Sichun ::914846 
::Places ::PajarolaOSSW98 
::Active ::914827 
::CormodeKMS05 ::Traina 
::SeltzsamGKK06 ::Bounded 
::163 ::Clean 
::Binnig ::Weddell92 
::Optimizer ::AslandoganTYZR97 
::K ::Rundensteiner 
::IshikawaKOYKK98 ::Varadarajan 
::Seidel90 ::Dogac 
::Miner ::P104 
::1387 ::1492 
::Virtualization ::Oracle8 
::1143 ::Iyer 
::433 ::Thaden 
::Extracted ::Prado 
::Agrawal ::Kyun 
::Steve ::Bhide 
::StockerKBK01 ::Yuni 
::Antonio ::Knowledge 
::EsterKX95 ::P2P 
::Harinarayan ::Solutions 
::Ling ::Kementsietsidis 
::Correctness ::Labels 
::Your ::353 
::EltabakhOAELASB08 ::446 
::Olivier ::sac 
::Shasha ::RastogiMBKS93 
::Navigation ::Jayant 
::Simon ::136 
::Engines ::Theodore 
::mss ::McCannSD08 
::Malkemus ::Places 
::1146 ::231 
::Queries ::P201 
::Lucian ::Haejoong 
::WangRL08 ::Interpretation 
::Dieter ::JermaineOY02 
::COUNT ::Jazayeri 
::Yuni ::Units 
::1103 ::80 
::MelnikGR02 ::Practice 
::4497426 ::Multivariate 
::LiSR92 ::4497625 
::331 ::JigyasuBBCDMT06 
::Lung ::Khalefa 
::Alon ::Mukesh 
::Co ::Lossy 
::556 ::Linfeng 
::ChaAHS05 ::4497614 
::Retrieval ::ChiS05 
::914865 ::Mapping 
::Naphtali ::TanselCGJSS93 
::Shrivastava ::Counting 
::Closest ::672 
::Automatic ::415 
::Flow ::AgrawalAS93 
::Naumann ::GeZ08 
::Friedman ::Exponentially 
::HouleS05 ::139 
::Sherkat ::Logic 
::1451 ::FungWY05 
::Databases ::Laws 
::Jiaheng ::Replication 
::Gabber ::Tasks 
::QuassWGHLMNRRAUW96 ::SinghKG02 
::50 ::Zadeh89 
::Estan ::Cui 
::ChenD97 ::TanGO01 
::914847 ::MalikBC05 
::Thalhammer ::NguyenD08 
::Teubner ::Repositories 
::BrantnerHKM05 ::Wloka 
::Toshinari ::Tian 
::Dunn ::Baxter 
::LaiTB05 ::Inclusion 
::Atri ::FarfanHRB08 
::Amarjeet ::Lucchese 
::KeidlKKK02 ::Rahm92 
::Ludscher ::Web 
::RosenblumO92 ::Miah 
::Hope ::Vee 
::732 ::Primitive 
::Carlos ::MD 
::578 ::1209 
::MudumbaiSSPB98 ::Christopher 
::419 ::Cooper 
::The ::Horibe 
::JakobGHN05 ::Hambrusch 
::Pucheral ::MukhopadhyayP02 
::PostgreSQL ::ieeecomputersociety 
::4497542 ::ImielinskiB94 
::using ::Amitabh 
::Bernstein ::Pitoura 
::level ::914834 
::Selections ::Conceptual 
::Bhide ::Ngu 
::Controls ::Govindarajan 
::Inverse ::Chow 
::Lochovsky ::BestPeer 
::Leh ::158 
::Munagala ::Load 
::1005 ::ShivakumarG97 
::OwickiG76 ::Xifeng 
::EsterKX95 ::Jagadish90 
::Jasiobedzki ::AssentWMS08 
::Ordered ::Bulut 
::Handling ::LeeE01 
::Verykios ::GutingS95 
::ChrysanthisR94 ::Context 
::Tomography ::Ferlez 
::He ::Monica 
::Simoudis98 ::Nejdl 
::1591 ::ZhangLKW06 
::Margaret ::JainMTC95 
::NtarmosTW06 ::10010071abs 
::ChenR05 ::MachanavajjhalaKAGV08 
::PictureBook ::4497622 
::Xingquan ::WangHYYY06 
::327 ::ChristophidesACS94 
::326 ::LittleAFGRSV93 
::Damianos ::Change 
::under ::ZukowskiHNB06 
::22850680abs ::LinVM06 
::P362 ::1333 
::1456 ::Recognition 
::pdis ::IoannidisP95 
::Orenstein91 ::Algorithm 
::Acharya ::AgrawalJKL06 
::Model ::WangZZ06a 
::Shimada ::4497466 
::522 ::234 
::141 ::FilhoTTF01 
::Banaei ::High 
::Arjen ::TungHH01 
::Neighbors ::Ding 
::Link ::l 
::KemperM90 ::KorolovaMNX08 
::Kato ::22850767abs 
::1470 ::JagadishMR97 
::Inverted ::ConsensLO06 
::Interesting ::ArbitraryWindows 
::BestPeer ::Mover 
::SarawagiS94 ::SpaceTwist 
::Patterns ::15310333 
::22851147 ::HenrichHSW91 
::455 ::Houman 
::Aduri ::22850730abs 
::15310403abs ::15310265 
::dpds ::Dao 
::532 ::P284 
::KashyapRRS08 ::Justin 
::Neumann ::PfahringerK95 
::Kotagiri ::MoerkotteN08 
::MOOLAP ::576 
::Hammad ::Calisto 
::Shishir ::Odysseus 
::ZivL77 ::Barton 
::HaraHTN97 ::Long 
::Curt ::38 
::Eltarras ::Summaries 
::105 ::Communities 
::Techniques ::Balakrishna 
::Generation ::201 
::Propagation ::4497634 
::Relationships ::Stonebraker 
::1129 ::Locality 
::1467 ::LeeE01 
::ChenR05 ::Lists 
::BentleyM80 ::Regions 
::Incremental ::22850779abs 
::22 ::Kai 
::Callaghan ::15310279 
::Tao ::Hull 
::VeeSSBA08 ::Lists 
::P392 ::Automating 
::BestPeer ::Weihl88 
::67 ::Milind 
::Dictionary ::15310287abs 
::Hellerstein ::LorentzosM97 
::LOCUST ::Capturing 
::zden ::Ishikawa 
::Sreeram ::FayyadPSU96 
::CLAN ::It 
::P601 ::Imran 
::22850242abs ::Filtered 
::Yahia ::Schlatter 
::Gunter ::540 
::4497596 ::4497584 
::914842 ::Serialization 
::Elmagarmid92 ::Yfoulis 
::914848 ::EsterKSX96 
::ZhangS06 ::502 
::Tsukamoto ::BernsteinL96 
::1101 ::4497464 
::Marianne ::for 
::Kornel ::QuassRSUW95 
::fm ::Knuth73a 
::Manikutty ::Salzberg86 
::4497477 ::Nguyen 
::Descour ::Lyublena 
::BlakeleyCERW05 ::Aggregates 
::SunAA02 ::Workflow 
::PermJoin ::Exploring 
::BernsteinN96 ::Anant 
::icde2002 ::Arasu 
::P598 ::Rebecca 
::Distinctiveness ::Music 
::SaltonWY75 ::ArocenaM98 
::715 ::LivnyRBCDLMW97 
::BhideCGGMPRRS08 ::Monica 
::Expressions ::Ryvkina 
::Czajkowski ::Jazayeri 
::ngc ::Vassilis 
::Service ::BayardoA05 
::ChaudhuriGK06 ::15310081abs 
::Abowd ::735 
::340 ::booktitle 
::Weikum ::File 
::NieWWM06 ::Workflow 
::Master ::22850193abs 
::Czajkowski ::EllisG89 
::Fai ::P024 
::Cattell91 ::HuaYL06 
::1474 ::Heinz 
::Chawathe ::Berchtold 
::Browser ::Anh 
::Bounded ::Presentations 
::15310277 ::Faradjian 
::195 ::Willis 
::Disparate ::P209 
::Chairs ::Chaum85 
::Ranganathan ::Ziarko91 
::JeungSZ08 ::4497409 
::Small ::Adriana 
::Lung ::Interactive 
::Scientific ::Imprecise 
::XinH08 ::145 
::22850415abs ::YiJF98 
::P094 ::Kapantaidakis 
::Burns ::JagadishMS95 
::Morzy93 ::ijcai 
::Garcia ::WilschutFA95 
::15310187 ::Jianlin 
::Rajaraman ::Recovery 
::Tracking ::ManolescuP05 
::142 ::WangZ02 
::Torvik ::Loh 
::GADT ::Quan 
::Amer ::Triggers 
::4497539 ::Sihem 
::Partitions ::Goethals 
::273 ::Gawlick98 
::Tolerant ::ZhouW08 
::Hu ::won 
::Private ::13 
::FeeleyMPKL95 ::4497597 
::Y ::Wiwatwattana 
::Match ::TokOLAB02 
::Huan ::Ono 
::Ansorge ::890 
::LentSW97 ::ChengXPS05 
::Gonzalez ::Suppression 
::Maps ::AggarwalY08 
::Neoklis ::Hmmer 
::Takahiro ::Papakonstantinou 
::TaoXP06 ::Ailamaki05 
::Obermeier ::Vassilios 
::Jianmin ::LeuteneggerL98 
::Estimator ::285 
::ZhouW08 ::Medical 
::Indicators ::Harchol 
::35 ::Pattern 
::Vijayshankar ::Answers 
::ShenSCT06 ::Shape 
::pdis ::XinSHL06 
::Tryfona ::er 
::Bach ::deductive 
::Cunningham ::1363 
::avi ::Davey 
::Gio ::About 
::Processing ::dl 
::843 ::415 
::Chuan ::Fishman 
::Martone ::Zahir 
::Trombetta ::Guttman84 
::WangZZ06 ::Kreplin 
::Flattening ::Telecommunications 
::Asymmetric ::Wilhite 
::SrivastavaL88 ::270 
::Lychagin ::Bradley 
::Egemen ::Fu 
::326 ::1083 
::CLICKS ::Wan 
::X05r ::Confidence 
::4497544 ::Leh 
::SayedRM06 ::Chi 
::SaltonWY75 ::HuangSW94 
::Fully ::Wesley 
::Bill ::Event 
::4497609 ::Mani 
::KivinenM95 ::Agesen 
::DayalHL90 ::Nobutoshi 
::Schoning01 ::22851143abs 
::ChenOO08 ::Bassiouni85 
::ArocenaM98 ::1539 
::Xiaofeng ::22850533abs 
::P446 ::Ohler 
::Sridhar ::Neal 
::Recognition ::Toolsuite 
::Paloscia ::1208 
::1512 ::Random 
::GoldinK95 ::Bravo 
::Future ::isca 
::4497498 ::LiuYCW08 
::LiuYGS98 ::1354 
::Martin05 ::Gunopulos 
::Untrusted ::Manish 
::Suchanek ::EffelsbergH84 
::15310275 ::Improved 
::Wensheng ::Ling 
::Naacke ::Ranking 
::596 ::Partially 
::EltabakhEA06 ::Languages 
::BalminOST08 ::22850384abs 
::Ravi ::693 
::Pryakhin ::BeckmannHKN06 
::Leong ::Clifton 
::Optimized ::15310268 
::PopivanovM02 ::Rogers 
::Wavelet ::15310064abs 
::Yufei ::Javeed 
::1297 ::FilhoTTF01 
::476 ::Lp 
::SEA ::Common 
::BrakatsoulasPT05 ::Mirco 
::Leonidas ::Sanjay 
::1424 ::Haixun 
::Passing ::Schroeder 
::Jason ::RDBMSs 
::Malkemus ::Forecast 
::Beckmann ::P116 
::PapaemmanouilC05 ::AndritsosFM06 
::LuVA08 ::Kimball96 
::Supporting ::HershbergerSS06 
::Ke ::HeZC05 
::Pipelining ::Hambrusch 
::Heiler ::Afalg 
::Deshpande ::Protein 
::BurdickCG01 ::HeLC05 
::BonifatiBCC02 ::Patricia 
::Sliding ::Jianping 
::asplos ::Community 
::Subscribe ::Fast 
::ShuklaDNR96 ::VlachouDNV08 
::HouJ06 ::Fischmann 
::GreifSW86 ::Dayns 
::XGRIND ::EllisG89 
::E ::Regnier85 
::Changes ::15310266 
::Anne ::Lipyeow 
::Fischer ::Product 
::156 ::Enhanced 
::25 ::Rau 
::Mengsheng ::Visibility 
::LupuY06 ::Jia 
::1480 ::4497619 
::4497468 ::Qiong 
::Tatemura ::Amlie 
::Evimaria ::Graphics 
::15310187 ::relational 
::LevyRO96 ::Recovery 
::Buneman ::Monica 
::Khalefa ::4497405 
::Pushpraj ::Mukhopadhyay 
::914862 ::ngc 
::693 ::Wensheng 
::1515 ::Guy 
::Kato ::Frequent 
::Sotiris ::Marinoiu 
::P532 ::DesphandeGMH05 
::Aggregates ::Molina08 
::Pipelining ::HolsheimerKMT95 
::ChaudhuriGK06 ::OLTP 
::Khaitan ::4497618 
::Kriegel ::LakshmananSGK98 
::Ada ::933 
::Jiang ::Spyratos 
::Orphan ::Crawler 
::Laboratories ::Autonomous 
::BulutS05 ::Vu 
::Scripting ::Kreutz 
::1306 ::McCann 
::2002 ::Luis 
::Cochinwala01 ::1453 
::Riqiang ::LeslieJBY95 
::22850631abs ::Size 
::Xia ::Ellis 
::Toivonen96 ::Patricia 
::Siva ::Haixun 
::3D ::Jos 
::962 ::FernandezS98 
::Greco ::Houtan 
::Crowd ::774 
::cp ::P424 
::Molina08 ::22851131abs 
::BonczKK96 ::YangL87 
::177 ::Uri 
::4497503 ::Gawlick98 
::OLTP ::Akinde 
::Shahabi ::Ester 
::Ramakrishnan08 ::Smodels 
::914835 ::209 
::Ander ::GUI 
::Dina ::204 
::1424 ::1388 
::Venn ::Managing 
::SolworthO91 ::1238 
::1000 ::Sonny 
::Antoshenkov92 ::Discovery 
::Feng ::MAPLE 
::Xianghong ::4497609 
::Oriented ::debu 
::Dyreson ::through 
::Bukhres ::HammerST05 
::SeegerK90 ::AntonyWAA08 
::Tomography ::GuptaJM96 
::Web ::Alomari 
::Expressivity ::SellisRF87 
::Specifications ::ChonAA02 
