::Stocker ::KappelS91 
::Teixeira ::FernandezFLS97 
::WhangKW94 ::Basket 
::Computing ::Triage 
::684 ::Anup 
::Independent ::Chaudhary 
::Transform ::Hiroshi 
::Multiresolution ::Snodgrass95 
::Unlinkable ::Transactional 
::349 ::4497398 
::P599 ::Panel 
::Tam ::AslandoganTYLN95 
::Stocker ::Neumann 
::Dirk ::Miss 
::Robert ::WangR91 
::HershbergerSS06 ::Among 
::724 ::Imprecision 
::Jean ::GrayR93 
::Leh ::Ziarko91 
::Patel ::Mohan94 
::Archival ::KumarLMT08 
::SketchTree ::Postgres 
::Sequences ::Acharya 
::Keijzer ::Nodira 
::ConsensRV08 ::22850991abs 
::Condit ::Shojiro 
::Sachindra ::4497611 
::Astoria ::767 
::Leung ::Bertk 
::LimN01 ::ph 
::GantiCM05 ::Machine 
::DebLRS08 ::4497415 
::Multiple ::Circumstances 
::KatayamaS01 ::22850032abs 
::Yao ::CORBA 
::booktitle ::Kobayashi 
::109 ::AliZTK08 
::KorolovaMNX08 ::Mirette 
::Suleiman ::on 
::Indexes ::22850254 
::Jianmin ::22850521abs 
::914858 ::Distinctiveness 
::Obstacles ::Gawlick01 
::Working ::Multivariate 
::Liadan ::ShatdalN93 
::265 ::GruenwaldBP06 
::AggarwalY08 ::Korolova 
::514 ::Bassam 
::Communication ::Vikas 
::Crowd ::NagarajNRS08 
::Krompass ::876 
::P174 ::Stolte 
::Zhiming ::Compiled 
::biased ::DeligiannakisSKVD08 
::Renner01 ::icde2006 
::HardwickSRM97 ::Event 
::EstanN06 ::697 
::Akiko ::P456 
::MogiK96 ::1567 
::X08 ::Previously 
::It ::MyllymakiL95 
::Sedmidubsk ::4497541 
::WangHLS06 ::1378 
::Mortazavi ::Correctness 
::X05o ::Leymann 
::XiongA06 ::dpd 
::Hacigms ::Zloof77 
::680 ::Kumar05 
::179 ::Shahan 
::LSD ::CherniackZ96 
::TanselCGJSS93 ::Superimposed 
::Tsaparas ::MAN 
::booktitle ::529 
::StreamingWindow ::LentSW97 
::3 ::dke 
::BINGO ::Hsiung 
::Identifiers ::HartDV88 
::Reducing ::YiJF98 
::523 ::783 
::1 ::Overlapping 
::Hannu ::Weighted 
::Smriti ::Yin 
::Hauswirth ::AbiteboulMB08 
::GoelSYZ02 ::Garofalakis 
::Continuous ::Bestavros 
::1147 ::CosmadakisK86 
::ChanG85 ::SuleimanCF98 
::Stabbing ::Charuta 
::15310141abs ::Mano 
::Murugesan ::Regulation 
::Swaroop ::Martinenghi 
::Rosaci ::processing 
::Dayns ::136 
::Participants ::578 
::LeongS97 ::Aberer 
::Yifeng ::Farnoush 
::Mary ::Type 
::Mohammad ::P104 
::Balmin ::4497631 
::938 ::Device 
::Sarawagi ::to 
::Janine ::journals 
::BenatallahSND02 ::4497585 
::Repairable ::SelingerACLP79 
::ChengCMC08 ::Cormode 
::Frequency ::Kai 
::Derivation ::Claudio 
::It ::515 
::P046 ::Harness 
::German ::57 
::Luo ::HershbergerSS06 
::isci ::Melliyal 
::Rajagopalan ::Woong 
::Policies ::300 
::TheodoridisS96 ::4497473 
::417 ::QiaoIAA05 
::1547 ::Era 
::relational ::Mehrotra 
::Burst ::ChaudhuriNR08 
::JigyasuBBCDMT06 ::22851100 
::913 ::LinD98 
::Christopher ::31 
::Lossy ::Maximal 
::Storage ::490 
::StonebrakerRH90 ::Aidong 
::Paradigm ::Nagesh 
::Zhuang ::46 
::Queuing ::WhangLLKH05 
::Yuelong ::Database 
::Win ::Gemulla 
::Stolte ::Ellmann 
::icde ::Koustuv 
::Dale ::Xiong 
::LometBMS06 ::Y 
::Takahiro ::McCannKSVSD05 
::DeeringC90 ::46 
::4497521 ::PrabhakarAAA98 
::Piotr ::Magesh 
::252 ::CarterBZ91 
::DaiKSTV08 ::Hmmer 
::Xiaofang ::Automatically 
::Issues ::GryzSZZ01 
::Advances ::Wilhite 
::Negi ::4497453 
::RoussopoulosK86 ::WebIQ 
::Kam ::Cong 
::AdaliCCES96 ::Chong 
::22850258abs ::1104 
::Teixeira ::ipsj 
::1370 ::Cherniack 
::Masatoshi ::acr 
::32 ::1061 
::E ::GabberK98 
::Butterfly ::Neil 
::45 ::SarmaBHW06 
::similarity ::Hector 
::Mahadevan ::Bar 
::Assessment ::Subarna 
::Gedik ::HolsheimerKMT95 
::ChenGK05 ::Norm 
::SAP ::Michalis 
::PageChaser ::Stratified 
::MED ::HorwitzT86 
::Colby ::501 
::Hans ::Numerical 
::Prefix ::Rajeev 
::Rinku ::Data 
::Standard ::LiBRHCN05 
::Capturing ::Toman96 
::H ::336 
::Lamport78 ::4497405 
::Chairs ::CeriW91 
::923 ::DunnDDS02 
::1433 ::Kian 
::15310064abs ::Loreto 
::595 ::4497637 
::CastroN08 ::Monotonicity 
::SistlaY96 ::Gardarin 
::dke ::etintemel 
::Approach ::Reification 
::1492 ::purpose 
::Outliers ::15310269 
::914816 ::Yibin 
::Standard ::15310282 
::Weiyi ::Georgiadis 
::Shape ::Rajkumar 
::Gruenwald ::SinhaWWSS08 
::15310485 ::Managed 
::ht ::4497508 
::Mitschang ::ZhaoRTN98 
::ZhangLW08 ::Schemes 
::500 ::Jiying 
::QuassRSUW95 ::MorsePG06 
::Dyreson96 ::Privacy 
::Reviewers ::22850162abs 
::HeXYY05 ::Indriyati 
::4497482 ::Mei 
::Anonymizing ::KemperM90 
::Ashraf ::Schwarz 
::592 ::Tree 
::79 ::Gawlick98 
::22850968abs ::605 
::15310323 ::454 
::15310017abs ::Segmentation 
::0003 ::Surface 
::Millions ::Among 
::PetkovicZBJAWK02 ::Clemens 
::Tsaparas ::243 
::CormodeKMW08 ::LiOW08 
::125 ::380 
::Kemper ::Conditional 
::Reducing ::Dasgupta 
::Mummoorthy ::GabowT89 
::We ::52 
::Sayed ::code 
::Integrating ::Jennie 
::SistlaYLL95 ::105 
::YuPK05 ::Baralis 
::4497616 ::GUI 
::BhideCGGMPRRS08 ::Goethals 
::Redo ::100 
::Kristian ::Committees 
::22850353 ::277 
::Nested ::Cristiana 
::Sales ::Hee 
::Flow ::WiwatwattanaJLS06 
::Browsing ::470 
::CabibboPT06 ::1372 
::477 ::892 
::Kiernan ::HOLAP 
::NakamuraE02 ::459 
::Michle ::Jagannathan 
::Gattu ::Symbolic 
::98 ::Jagadish 
::Tania ::Widmayer 
::Materialization ::328 
::Spyros ::1324 
::Combining ::Delivery 
::Dam97 ::Hui 
::Right ::CatarciCS94 
::Qing ::Tony 
::Ellmann ::Provide 
::Wong ::22851124 
::WuDY06 ::Bernedo 
::HP ::Recycling 
::Trial ::533 
::Broken ::cosit 
::Analyzing ::JagadishMR98 
::NieWWM06 ::P144 
::Fosca ::Haojun 
::191 ::4497537 
::Developing ::Vassilios 
::Tanizaki ::DewriRRW08 
::Maps ::Channels 
::GrabsBS01 ::Nguer 
::Caching ::Qian96 
::Hendrik ::1119 
::Martinenghi ::KriegelHS91 
::XingZH05 ::Fai 
::Results ::ChaudhuriDMN01 
::Callaghan ::DeeringC90 
::Subhash ::1492 
::383 ::Volumes 
::BertinoK89 ::WangHYYY06 
::4497429 ::AbulBN08 
::Vikas ::4497445 
::Anonymization ::Uncertain 
::FaloutsosB93 ::862 
::511 ::Riccardo 
::341 ::Mladenic 
::Reichert ::Pudi 
::BOXes ::XinH08 
::KetchpelGP97 ::1144 
::216 ::Fabio 
::4497605 ::1474 
::LianC08 ::Antonio 
::ChenC08 ::1486 
::Joseph ::22850656abs 
::Geometric ::Sugata 
::Millions ::214 
::Balaji ::KilgerM94 
::DesphandeGMH05 ::Cai 
::Rabindra ::EdmundsMSS05 
::AslandoganTYZR97 ::872 
::Nejdl ::Jermaine 
::Workflows ::ChonAA02 
::Yao ::Sheng 
::Administration ::Ohler 
::CLICKS ::Diao 
::Chendong ::P334 
::Shukla ::4497519 
::Rights ::Practice 
::Anja ::Zipf49 
::Dirk ::Major 
::Junglee ::Maurice 
::947 ::8 
::Shukla ::Michal 
::Kambhampati ::CarterBZ91 
::Matt ::Afanasiev 
::RoussopoulosKV95 ::Shimada 
::ShkapenyukS02 ::Takuya 
::Fast ::155 
::Stucki ::Mingzhe 
::715 ::Emmanuel 
::Periods ::287 
::22850927abs ::KreplinZ01 
::MaddenG08 ::DeeringC90 
::22851104abs ::Dik 
::Flesca ::1002 
::Schwarzkopf ::XParent 
::Product ::Deep 
::CarterBZ95 ::Kanad 
::Eric ::1612 
::595 ::Sevcik 
::XinSHL06 ::1369 
::4497467 ::Hsu93 
::Benatallah ::Standing 
::Sparse ::Minos 
::Shin ::Tanizaki 
::BehrG05 ::37 
::Alejandro ::Jazayeri 
::15310403abs ::Korn 
::Kamath ::Detect 
::152 ::Goldstein 
::Hilda ::Kobayashi 
::Chu ::Methodical 
::Corruption ::GruenwaldBP06 
::Roger ::Constructing 
::4497582 ::Declarative 
::SrivastavaDJL96 ::ParkCY95 
::47 ::1540 
::YangL87 ::Yanlei 
::Khalefa ::Rewriting 
::Prabhakar ::Krishnamurthy 
::ColbyGLMT96 ::PapakonstantinouGU96 
::Replacement ::Ngai 
::514 ::IshikawaSKMMIAY93 
::4497476 ::Govi 
::Yao ::ssdbm 
::1375 ::ZhangPW08 
::ArefCEFGHIMPRTTTVZ02 ::Girod 
::Gertz ::LuoWL08 
::Heikki ::Boris 
::767 ::RamanSQRDKNS08 
::Sergej ::76 
::4497422 ::Anti 
::4497560 ::Chow 
::BhideCGGMPRRS08 ::DanK95 
::Gupta ::Kien 
::Ernst ::Goldin 
::96 ::457 
::Orchid ::Sashikanth 
::Siberski ::Ownership 
::Duan ::Kanoulas 
::Workloads ::Tomkins 
::10010121abs ::15310419abs 
::Castro ::Mitch 
::Carson ::GummadiLGSH05 
::22850384abs ::WebIQ 
::PabmanabhanG06 ::4497456 
::PoosalaIHS96 ::Bitemporal 
::Searches ::Scalable 
::StockerKBK01 ::Presentations 
::Delta ::Anh 
::Girish ::Graph 
::Constrained ::Sarawagi95 
::Seshadri ::on 
::Navathe ::CastroN08 
::Standard ::MansuriS06 
::Charging ::321 
::LeslieJBY95 ::Bill 
::420 ::BhideCGGMPRRS08 
::1509 ::Sreenivas 
::Nagaraj ::Batra 
::Pessimist ::Sunbir 
::Kyu ::ZhouW08 
::P486 ::for 
::acta ::LianCY08 
::Prefiltering ::170 
::Midflight ::DragutWSYM06 
::953 ::Allen83 
::LeeSZ05 ::join 
::Containing ::Ayad 
::15310274 ::Periods 
::Luk ::130 
::MehrotraG93 ::794 
::Portal ::Shim 
::DewriRRW08 ::Han 
::29 ::Bee 
::ChaudhuriNR08 ::Ngu 
::PattersonBA08 ::P046 
::cacm ::Autonomic 
::CormodeIKM02 ::ChonAA02 
::Referential ::PapakonstantinouAG96 
::Lijiang ::Cho 
::15310280 ::Jakob 
::Sayed ::Hsiung 
::Goyal ::Guided 
::22851147 ::BanerjeeC98 
::Optimize ::Khaled 
::Michael ::Lychagin 
::Stefan ::bdbms 
::BeckmannHKN06 ::Negi 
::22851147 ::Chih 
::Polynomial ::ichi 
::GrayC89 ::Agesen 
::Temporal ::523 
::PrabhakarAAA98 ::StoumposDKD08 
::Fingertips ::Ivan 
::Peter ::22850705abs 
::RothH93 ::Jonas 
::Freeston95 ::753 
::Krithi ::Scheme 
::Nuwee ::Christopher 
::Hierarchical ::914825 
::Stacie ::Zou 
::Vu ::SilberschatzSU91 
::PetkovicZBJAWK02 ::if 
::Languages ::ride 
::JainMTC95 ::Interpreted 
::mm ::Joshi 
::JoshiJ06 ::Multiresolution 
::Zhen ::GangerK97 
::Panella ::Variable 
::SPOT ::1580 
::MohanHLPS92 ::Versus 
::at ::LudascherGM01 
::4497619 ::Roy 
::Daudjee ::512 
::Intersection ::Wilschut 
::Tao ::AgesenBPT01 
::Shojiro ::ETL 
::YanZH05 ::Asuman 
::Factorization ::Neoklis 
::ShenSYZC06 ::852 
::1143 ::SmithC96 
::Samaras ::Mondrian 
::95 ::Sonny 
::1382 ::Computation 
::Stanislav ::598 
::55 ::15310005abs 
::Pavel ::PudiH02 
::Stephan ::Kanaya 
::Chow ::1393 
::P456 ::Lomet98 
::Stonebraker94 ::Nigel 
::P568 ::Minos 
::1367 ::Earl 
::Halevy ::of 
::Shyam ::e 
::86 ::Self 
::Transparent ::Workflows 
::Yue ::Antijoin 
::dke ::KoloniariP08 
::15310492 ::Index 
::CaiHH08 ::Ian 
::Ixent ::ht 
::nato ::4497504 
::Grtner ::Optimization 
::Ying ::Kolovski 
::GardarinST96 ::1137 
::cacm ::Mendez 
::Preserving ::15310628abs 
::ImielinskiVA96 ::Denzel02 
::crossref ::Leong 
::914837 ::Degradation 
::Henk ::Reference 
::Renato ::Changqing 
::PapadiasYMT05 ::62 
::Decomposition ::4497557 
::RamakrishnanJNKB06 ::P412 
::Hoyoung ::Notification 
::Inferring ::Ziyang 
::vldb ::Grandison 
::4497408 ::22851124 
::4497418 ::Dominance 
::ManjhiSDO05 ::Scaling 
::325 ::P458 
::P342 ::GrayC89 
::Cabibbo ::Containing 
::Narang ::Riemenschneider 
::IvesT08 ::Group87 
::914839 ::Christopher 
::Heterogeneous ::SPOT 
::Eadon ::1477 
::Kinji ::SchenkelTW05 
::Raschid ::Panagos 
::Lag ::AbiteboulMZ08 
::Theodoridis ::Function 
::pods ::Varadarajan 
::Galt ::BorzsonyiKS01 
::WangY02 ::22850578abs 
::Itoh ::Schiefer 
::Raman ::GalAX02 
::Active ::Multivariate 
::PapadopoulosM97 ::Kraus 
::ZaianeELL05 ::cj 
::MUSE ::4497436 
::Roberto ::272 
::15310333 ::601 
::Henk ::Srivastava 
::4497562 ::Onizuka 
::Jennifer ::Nes 
::BurnsDILP08 ::Speeds 
::Sameer ::Henrich 
::1072 ::Loading 
::P2P ::15310463abs 
::22851126abs ::GravanoG95 
::Carlos ::Kee 
::ChonAA02 ::ACT 
::942 ::NAPA 
::25 ::Burns 
::GirodMNRTBM08 ::P209 
::Intensive ::PetkovicZBJAWK02 
::516 ::Selinger 
::And ::Attacks 
::22850341abs ::Simon 
::1436 ::Transformation 
::Warping ::Quang 
::BernsteinGW93 ::LeuteneggerL98 
::Just ::Hui 
::1363 ::4497613 
::4497486 ::165 
::134 ::Hyong 
::4497443 ::Volatile 
::22850310abs ::Estimating 
::Kotidis ::15310176abs 
::Guting94 ::Buneman 
::715 ::616 
::Rotem91 ::158 
::Holger ::1297 
::Ljosa ::Hector 
::Sequencing ::Demo 
::Scale ::Linear 
::SistlaYH94 ::Madlmayr 
::15 ::Publishing 
::Matching ::Surajit 
::Luo ::Peter 
::Industry ::Pu 
::622 ::Tien 
::Mining ::ZhouP08 
::273 ::B+ 
::673 ::650 
::Xingdong ::Recycling 
::Boualem ::Larson 
::FernandezFLS97 ::ChenLL08 
::ChakravarthyM94 ::Vassilios 
::XiaZT08 ::ZhouTZ06 
::Co ::Liao 
::Boualem ::594 
::Locality ::15310017abs 
::Helmer ::IndexFabric 
::Bassiouni85 ::P466 
::1403 ::Pfoser 
::22850143abs ::Shanmugasundaram 
::4497523 ::Sheth 
::Conditional ::283 
::914853 ::MamoulisCYC06 
::968 ::Systems 
::KitsuregawaTM83 ::Mingzhe 
::Kantarcioglu ::Clusters 
::22850580abs ::Stream 
::LuoWL08 ::DeWittKOSSW84 
::Bakalov ::pdf 
::Liang ::HuhtalaKPT98 
::15310419abs ::P458 
::Krithi ::Nakamura 
::JadavSCB95 ::Green 
::Snodgrass ::15310543abs 
::Yoji ::Zeiss 
::Explaining ::Trombetta 
::Westmann ::Standing 
::Srinivasan ::4497565 
::Denzel02 ::4497431 
::KornackerB95 ::Ranking 
::Tuning ::Anastassia 
::ChenC08 ::Hetal 
::Condit ::Directed 
::362 ::Lyman 
::Dimitrios ::IshikawaKOYKK98 
::Denzel02 ::El 
::SinghMSPHNC08 ::1528 
::402 ::1575 
::Zeeshan ::Nakamizo 
::Kanoulas ::GongYQZ05 
::Folding ::MolinaLV84 
::Farhana ::onWeb 
::WangXLW08 ::iBOM 
::Kit ::117 
::ParkCY95 ::4497579 
::Kambhampati ::Imran 
::Prodromos ::914818 
::Sikka ::Yannis 
::Neumann ::Novak 
::Immerman ::1405 
::Eugene ::345 
::Bertram ::15310593abs 
::Fastest ::1036 
::15310453 ::Third 
::Veli ::Yasin 
::4497441 ::Mi 
::Harold ::Mehr 
::1456 ::AgrawalS95 
::Tang ::jodl 
::Growth ::Modern 
::Ozcan ::Enabling 
::Multimedia ::114 
::Theoni ::KellerB96 
::OLTP ::CastellanosC05 
::partite ::793 
::the ::Star 
::Yuen ::Alvaro 
::MendelzonW95 ::22850606abs 
::Wu ::Autonomic 
::Takegawa ::4497433 
::4497529 ::Sistla 
::Ramamurthy ::Tetsuya 
::IpeirotisNCG05 ::Hasan 
::Ramon ::4497612 
::Rene ::Uncovering 
::4497547 ::Gryz98 
::RoussopoulosKV95 ::Applications 
::artdb ::Kun 
::Furfaro ::Rogers 
::942 ::Obstacles 
::Mlivoncic ::Enabling 
::Gill ::388 
::Redo ::Computations 
::142 ::Willis 
::WolskiB98 ::Hiroaki 
::15310517abs ::Bursty 
::Aggregationin ::Chris 
::Shyu ::BinnigKLS08 
::Immerman87 ::Davey 
::69 ::Margaret 
::CaoCFT08 ::1061 
::Process ::Middle 
::Gsta ::MullerDEF01 
::914877 ::Chon 
::SarmaTW08 ::FranklinCL92 
::4497431 ::Banu 
::Vikram ::Aoki 
::Rajagopalan ::Prasad 
::Stella ::Idreos 
::HOLAP ::Mahmood 
::Keyword ::MozafariTZ08 
::Hakan ::Browser 
::GraefeM93 ::Hari 
::ReSF06 ::Dina 
::Henry ::957 
::Three ::15310270 
::Outliers ::Fathima 
::22850205abs ::Hsiung 
::Dumas ::15310235abs 
::RaoM06 ::Klaus 
::Previously ::F 
::Marts ::Mozafari 
::SQLServer ::SPP 
::Cohe ::Ting 
::617 ::ke 
::Idreos ::Moustafa 
::GrahneLWX01 ::321 
::HadjieleftheriouCKS08 ::Decker 
::Design ::Robinson81 
::Gong ::Ramamohanarao 
::Imprecision ::Randal 
::Rules ::Tingjian 
::Haruo ::ZhouOT05 
::ETL ::Mumtaz 
::Torlone ::Sequences 
::zden ::Jazayeri 
::Verifiers ::Abstract 
::Kifer ::Ching 
::AssentWMS08 ::1325 
::Mladenic ::PudiH02 
::22851135 ::Habich 
::Communities ::1024 
::Interpretation ::1427 
::993 ::Hauswirth 
::Timothy ::ZukowskiHNB06 
::WangXHZWZS08 ::BancilhonDK92 
::AgrawalFS93 ::Cohe 
::Harwood ::NakamuraAOS93 
::264 ::22850242abs 
::Pollack ::716 
::823 ::Fai 
::Subramanian ::AgrawalAS93 
::914850 ::839 
::P458 ::148 
::DiaoFFT02 ::Maskey 
::P180 ::KivinenM95 
::Jagadish90 ::Maryann 
::Jiexing ::Chu 
::Colors ::Nithya 
::Periklis ::4497628 
::Shoshani ::BaralGS98 
::Blocking ::Coordinated 
::Energy ::816 
::Wan ::ChenLGKP94 
::Yokota ::Sanghyun 
::SheuW06 ::161 
::Joachim ::Managed 
::4497443 ::325 
::284 ::Eltabakh 
::ZhouOT05 ::Mehta 
::CareyHMW96 ::Athena 
::Vladimir ::Buchmann 
::isci ::457 
::BrinkhoffKS93 ::Entity 
::P209 ::Direct 
::Subspace ::Roitman 
::CasatiDS01 ::1471 
::22850521abs ::Nithya 
::inWireless ::ShenOT06 
::Relationship ::FaloutsosBFHNPE94 
::22850471abs ::892 
::ONeilOW93 ::LiuR05 
::Apers ::Papadopoulos 
::Full ::Local 
::4497625 ::Kyuseok 
::Mann ::ChenLGKP94 
::PuKH88 ::Bulut 
::ShiZ05 ::Muse 
::Intensive ::Nishio 
::Exploratory ::kl 
::122 ::FudosPP02 
::Maruyama ::AgesenBPT01 
::Mylopoulos ::Series 
::Kanagal ::15310266 
::AggarwalCH06 ::Blocks 
::YangL01 ::1119 
::1607 ::22850188 
::4497548 ::BancilhonDK92 
::1346 ::Producing 
::Xiaolei ::ChongDES06 
::Pandis ::XieYCWY08 
::Synchronization ::Generalized 
::ChenOR08 ::Columns 
::516 ::Lieberman 
::4497522 ::Atomic 
::15310335 ::Alfons 
::Main ::Bausch 
::Algebra ::ShivakumarG95 
::Nested ::22850254 
::McCannSD08 ::Relationship 
::Ambuj ::Cole 
::P392 ::74 
::Hamid ::588 
::Hashing ::481 
::AgrawalLSS95 ::inproceedings 
::Composition ::Fuh 
::914832 ::Trade 
::Two ::Mostafa 
::AggarwalY08b ::EllisG89 
::Zhiyuan ::RoschGL08 
::Similarity ::Huaiyu 
::15310268 ::Yiming 
::KapitskaiaTV97 ::Georgia 
::Atmosukarto ::4497581 
::Array ::FernandezFLS97 
::Porto ::trees 
::Flattening ::ai 
::1415 ::Sistla 
::Ouzzani ::granularity 
::SunPF05 ::AbiteboulMZ08 
::King ::Vassilis 
::Etzard ::Kulik 
::902 ::AslandoganTYZR97 
::Stacy ::ChakravarthyM94 
::Uchiyama ::FaloutsosL95 
::ChenLL08 ::MannilaTV94 
::Manfred ::Role 
::Oxley ::Maarten 
::4497431 ::1518 
::Commit ::Mix 
::Mikkel ::Definitions 
::Tasks ::Out 
::Light ::Scheduling 
::4497607 ::Oguchi 
::1102 ::HowardKMNSSW88 
::CherniackZ96 ::Narasayya 
::Indrakshi ::Balanced 
::540 ::Xie 
::Cameron ::rtdb 
::Producing ::BonczKK96 
::FerlezFLMG08 ::Gadia88 
::Allocation ::Rule 
::SG ::Antony 
::Acceleration ::Manjhi 
::designed ::Twig 
::ife ::SelingerACLP79 
::ChengXPS05 ::Nicolas 
::15310673abs ::Reichert 
::Georgia ::UDB 
::AxPRE ::EltabakhEA06 
::HernandezPVMNH02 ::processing 
::Loreto ::252 
::WilschutFA95 ::Extension 
::DrapeauK93 ::AttieSSR93 
::Prefiltering ::Zurek 
::Gabriel ::Safeguarding 
::15310273 ::22850094abs 
::Eike ::Saenz 
::Chiew ::115 
::BakalovHHT08 ::477 
::MUSE ::Haslam 
::Anastasios ::Copy 
::P446 ::BonczKK96 
::Isaac93 ::4497399 
::Hiraoka ::125 
::660 ::Mansuri 
::Characterization ::Salka98 
::Dadam ::DalkilicGR97 
::Tasks ::SmythG91 
::Estan ::Giuseppe 
::Link ::BancilhonR86 
::Obermeier ::Assuring 
::QoS ::and 
::25 ::Ken 
::Michle ::ChristophidesACS94 
::353 ::Zabback 
::Chiu ::Suciu 
::Supporting ::PapakonstantinouAG96 
::Clusterin ::841 
::Yuanyuan ::Anne 
::Mukherjee ::Kanoulas 
::Sundaresan ::22850360abs 
::spieSR ::Rathakrishnan 
::Munagala ::SEMCOG 
::Folding ::199 
::Navathe ::Patterson 
::Hsiao92 ::1405 
::Shuai ::Record 
::1521 ::15310383abs 
::StromY85 ::Eran 
::Gunopulos ::Hazem 
::1513 ::TanizakiMS05 
::KashaniS06 ::SuWL06 
::Lipyeow ::15310403abs 
::Badillos ::FungWY05 
::4497397 ::SilberschatzKS97 
::GoldinK95 ::Wenliang 
::RajaramanSU95 ::Zukowski 
::Bruno ::435 
::ETL ::Olteanu 
::Yokota ::28 
::ChenWZY08 ::Tolerant 
::Xiaochun ::Malin 
::Fayyad ::Untrusted 
::125 ::BryanEF08 
::Nikos ::icdcs 
::P178 ::General 
::1402 ::Sanjay 
::4497520 ::books 
::Bing ::1507 
::ChristophidesCM96 ::Through 
::Qigang ::Muse 
::914858 ::23 
::FernandezA02 ::145 
::AthitsosPPK08 ::Communities 
::Patel ::Garcia 
::506 ::Jim 
::913 ::Freiwald 
::Ashwin ::Meets 
::GyssensLS96 ::Henrich 
::GardarinST96 ::22851104abs 
::RinderleWR06 ::KaushikSBG02 
::NieWWM06 ::4497541 
::AgrawalBGKLR05 ::22851145abs 
::Tan ::anonymizing 
::Monica ::953 
::22850533abs ::15310269 
::cj ::Videos 
::Wavelet ::Jagrati 
::Interpretation ::557 
::Influence ::Pierre 
::ChenDYR08 ::Shape 
::22851146 ::DIPBench 
::Mao ::ChaudhuriGKLLM98 
::Girish ::Correlated 
::406 ::4497430 
::Fjording ::Maher 
::Inter ::Features 
::Molina02 ::Vinayak 
::HwangBRCSZ05 ::Terms 
::Made ::EvangelidisLS95 
::Periklis ::Stella 
::4497539 ::472 
::Joon ::Gupta 
::Barbara ::1465 
::Iwen ::Derivation 
::542 ::dbpl 
::RoschGL08 ::BernsteinGW93 
::Mohan90 ::YaminiG05 
::Shuang ::Jermaine 
::1421 ::4497430 
::Spatio ::Modern 
::COSTA ::1628 
::XinSHL06 ::Simon 
::Antti ::118 
::Hull ::Boris 
::Ladin ::Source 
::497 ::MD 
::GalAX02 ::Amr 
::Massive ::Mirco 
::HacigumusMI02 ::655 
::Hmmer ::1120 
::1126 ::4497428 
::LeeMCC02 ::Pawel 
::119 ::LiuP95 
::ChaudhuriNR08 ::Lucchese 
::Never ::430 
::Indicators ::Zdonik 
::22850020abs ::22851124 
::Indriyati ::Jianmin 
::Cable ::Kantarcioglu 
::Kanad ::Verification 
::Geerts ::Levy 
::System ::Yuni 
::1595 ::IP 
::4497450 ::speak 
::Rizzolo ::15310263 
::Rotem91 ::KhalifaJPWKS02 
::Creation ::1248 
::Lup ::Sheu 
::G ::Hiroko 
::books ::00 
::MohanHLPS92 ::396 
::jodl ::WangXHZWZS08 
::Tolerant ::Level 
::1572 ::AbiteboulK92 
::PetkovicZBJAWK02 ::Banich 
::4497425 ::Nimble 
::ChengCMC08 ::Nicklas 
::via ::Selection 
::Trees ::Burst 
::TokOLAB02 ::TaoXP06 
::UDB ::Seluk 
::4497435 ::NakamuraE02 
::Mariano ::MalinAEL05 
::GareyJ79 ::ZouSL98 
::Rasin ::333 
::186 ::Jeung 
::Imprecise ::JermaineO02 
::Kreher ::Arno 
::GrabsBS01 ::BorzsonyiKS01 
::Xin ::Outlier 
::Sithirasenan ::Brian 
::Aduri ::Kobayashi 
::72 ::Mamoulis 
::GoelSYZ02 ::Rosa 
::22850754abs ::HutfleszSW88 
::Future ::SistlaW95 
::Two ::4497488 
::Ho ::Clusterin 
::Berners ::1533 
::TaoXP06 ::KolliosGKB01 
::1297 ::ChonAA02 
::Varied ::ChaAHS05 
::1119 ::Buneman 
::Maya ::104 
::Greco ::Tilo 
::Transformation ::Mitschang 
::Labeled ::Allen83 
::Khoussainova ::Hiraoka 
::PinarTF05 ::ZhangOAI06 
::Shivakumar ::Milind 
::Intelligent ::270 
::Heinlein01 ::Arshad 
::376 ::Cappellari 
::Roitman ::Scripting 
::Scheuer ::22850518abs 
::AgrawalJKL06 ::Places 
::BrinkhoffKS93 ::Gemulla 
::Thomsen ::416 
::Meyerson ::15310309abs 
::Niblack ::Chow 
::Sherkat ::416 
::Feida ::ks 
::6 ::BernsteinHG87 
::Hse ::Stabbing 
::PanZW08 ::Dam97 
::ArefS94 ::MolinaKS98 
::MolinaLV84 ::4497475 
::XiongMA05 ::4497414 
::Autonomy ::Dan 
::Dayns ::Conference 
::22850916abs ::Manipulation 
::Mathew ::P180 
::MoerkotteN08 ::Venkatesh 
::Chendong ::StoumposDKD08 
::Kien ::CastellanosBR08 
::Martin05 ::Yiping 
::Region ::Redbrick 
::942 ::Amza 
::121 ::Statistical 
::MarianAKS05 ::jlp 
::Jianlin ::242 
::Hambrusch ::73 
::1521 ::914843 
::Cubes ::D 
::CPU ::Transaction 
::15310431abs ::QPipe 
::PeiroASW98 ::BuccafurriRPS02 
::Bakalov ::1364 
::DHT ::Weaver 
::1619 ::Patricia 
::Bravo ::1099 
::Kang ::HershbergerSS06 
::Jia ::We 
::WolskiKP96 ::JainMTC95 
::1328 ::Kendig 
::Fuzzy ::Flow 
::22850717abs ::Ioannidis 
::tc ::68 
::Five ::STAG 
::KauT94 ::KriegelHS91 
::KeijzerK08 ::Callaghan 
::254 ::440 
