::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Xiaofeng ::Workflows ::Yuxin ::Fuzzy 
::edbt ::LOCUST ::McWherter ::gis 
::SinghL08 ::715 ::300 ::477 
::StockerKBK01 ::1468 ::Fred ::Three 
::Histories ::ChrysanthisR94 ::Bhm ::Ramon 
::HinterbergerMG94 ::BukhresSNBAOGKCMS02 ::Beyond ::Cesare 
::Subhash ::Leung ::KashyapRRS08 ::1083 
::StonebrakerADLO94 ::Substructures ::734 ::WatanabeY05 
::Family ::Coupling ::LiuYGS98 ::Venkatasubramanian 
::Mourad ::Songting ::Non ::Dale 
::Hse ::Evaluation ::Freeston95 ::753 
::inproceedings ::1572 ::title ::Pipelining 
::Rule ::Maps ::HanMWS01 ::Prefix 
::Grahne ::1584 ::1579 ::15310333 
::Scott ::Delta ::Raghavan ::Increasing 
::Upendra ::for ::Lan ::4497472 
::Hsu93 ::Christina ::Shahan ::Accurate 
::Leh ::314 ::Brown ::Kementsietsidis 
::BanerjeeC98 ::Online ::Kanellakis95 ::Regular 
::Collaboration ::Palakal ::Jayapandian ::ShivakumarGC98 
::Roger ::Roy ::ChengDNPKWAAFSSS97 ::HoutsmaS95 
::AbiteboulV97 ::BargaL01 ::Lomet92 ::Liedes 
::Lars ::Ravada ::Lieuwen ::HacigumusMI02 
::BhowmickP06 ::WuB98 ::Hnle ::CocciTDS08 
::Ma ::1528 ::Learning ::Schema 
::Study ::SilberschatzSU91 ::28 ::1321 
::CareyHL93 ::LiuYCW08 ::Algorithm ::1042 
::Stephanie ::Metric ::173 ::Mukesh 
::Mengsheng ::Delta ::Shapes ::22851146 
::IBM ::Darrell ::CastellanosCSD05 ::by 
::926 ::WangLFY02 ::Donghui ::BayerM72 
::Boat ::616 ::Complete ::4497536 
::Approximately ::Warner ::22851146 ::DuschkaL97 
::Tzi ::Gen ::Bitemporal ::Mi 
::Mohan96 ::Tzi ::GhandeharizadehHJ92 ::Nrvg 
::XuLXM06 ::Odysseus ::GuhaK02 ::Queries 
::914874 ::Kitsuregawa ::Moving ::ChakrabartiM98 
::KrishnamurthyI91 ::KuZWW06 ::Eike ::Land 
::Shipra ::4497503 ::dbpl ::802 
::Selection ::Associative ::MiahDHM08 ::Cohe 
::Corpus ::1518 ::Metadata ::112 
::FegarasM95 ::ThomsenPL08 ::Lavelle ::638 
::Queuing ::AhmadABM08 ::Zwol ::BernsteinGLL98 
::Flip ::SeegerK90 ::Balakrishnan ::22850384abs 
::Bruno ::Shivakumar ::ArefS94 ::pldi 
::742 ::Streaming ::Processing ::Manipulation 
::Rahm ::Wilschut ::All ::Nguyen 
::ShenOT06 ::Jaideep ::Abdelmounaam ::Eduard 
::162 ::Intelligence ::Regular ::Xiaofang 
::HacigumusMI02 ::ChenDN02 ::Anurag ::Resources 
::ShriraX05 ::Build ::298 ::Quan 
::Steve ::Ammar ::Goldin06 ::Obstacles 
::15310463abs ::Dragut ::CareyL91 ::NgOT02 
::ContinuouslyMoving ::Shimada ::Yoon ::4497594 
::P599 ::Harinarayan ::StreamCorder ::Galt 
::TangYOW08 ::JoshiJ06 ::Issues ::Conserving 
::Munir ::Consistent ::78 ::1555 
::MolinaS87 ::Nan ::Gridded ::Roussopoulos 
::Raman ::Dasgupta ::Kihong ::DongDong 
::147 ::Optimal ::Vaithyanathan ::Mayfield 
::4497465 ::Ulrich ::Kristian ::QuassWGHLMNRRAUW96 
::deSign ::Industry ::Roger ::4497419 
::Rajaraman ::Tryfonopoulos ::Sen ::4497585 
::SelingerACLP79 ::OomotoT93 ::GedikWY08 ::Flip 
::Graphitti ::1107 ::Reza ::Graphs 
::Phantom ::490 ::Integrate ::Samet90 
::174 ::1376 ::Tamir ::Choi 
::Koutrika ::Cinzia ::Speed ::4497538 
::Tag ::MummertES95 ::mta ::ACXESS 
::Querying ::Saenz ::Jignesh ::AstrahanBCEGGKLMMPTWW76 
::Fei ::Nie ::Mix ::ZhouTZ06 
::RoitmanGR08a ::Alborzi ::Approximated ::KreplinZ01 
::Marcelo ::GrustKGHS97 ::Replicated ::Desmarais 
::22850631abs ::MendelzonW95 ::1429 ::P241 
::GanesanSG05 ::679 ::Krger ::Auditing 
::Midflight ::Geerts ::Luc ::106 
::533 ::PalopoliTU01 ::22850258abs ::471 
::good ::Cichocki ::Wide ::1180 
::P599 ::P036 ::Gawlick01 ::2005 
::Dynamic ::XingZH05 ::Rimma ::computer 
::Jrme ::Hashing ::adl ::1457 
::Carlos ::Program ::Eavis ::346 
::Gudes ::Weiyi ::LinD98 ::914850 
::75 ::Cochrane ::LiCHH97 ::337 
::Subramanian ::Jagadish91 ::Denzel ::Top 
::SilberschatzSU91 ::Prakash ::Results ::Testing 
::Afalg ::307 ::EltabakhOAELASB08 ::Sardar 
::Franoise ::813 ::4497518 ::MunakataJ94 
::Lorenzo ::HouJ06 ::KornMW06 ::385 
::BernsteinGLL98 ::Sachin ::KriegelKPS08 ::Research 
::CastroN08 ::Syeda ::Strong ::Schiefer 
::35 ::DelisR94 ::Xiaoming ::Hongyan 
::Jigsaw ::Bakalov ::Stop ::348 
::Manuel ::Dehne ::Weining ::FeeleyMPKL95 
::Shigeru ::Andrew ::22850471abs ::4497623 
::Draper01 ::FlicknerSAHDGHLPSY95 ::purpose ::266 
::4497592 ::Kim ::BeckerHF93 ::Unsafe 
::DeWittKLPY94 ::655 ::Okcan ::MONDRIAN 
::Schumacher ::1099 ::KhalifaJPWKS02 ::Distance 
::CareyD96 ::YangL01 ::P241 ::4497459 
::1429 ::aaai ::162 ::Bingsheng 
::P494 ::4497501 ::Roland ::Suppression 
::NtarmosTW06 ::4497485 ::Dadam ::Moshchuk 
::Autonomic ::DayalHL90 ::Miled ::Hiroomi 
::778 ::Dhruv ::Probabilistic ::MaddenF02 
::4497524 ::Interacting ::Etzard ::Objective 
::Sentiment ::Dialani ::AthitsosPPK08 ::LinD98 
::WhangLLKH05 ::Gaurav ::Y ::Jonas 
::Yoji ::Simplicity ::4497502 ::Fabret 
::274 ::2002 ::764 ::Cobena 
::KitsuregawaTM83 ::Goh ::Khuzaima ::Hsu95 
::Fischmann ::1616 ::PF91 ::Delta 
::Services ::172 ::1317 ::XQSE 
::SavageW96 ::Haixun ::Bundles ::V 
::XStream ::4497545 ::Anand ::Attacks 
::Mangold ::882 ::1360 ::Dieter 
::Changing ::Polyzotis ::Discovery ::icml 
::FaloutsosBFHNPE94 ::58 ::4497475 ::4497546 
::Leakage ::190 ::Ramamurthy ::Norm 
::SECONDO ::Schenkel ::Understanding ::Aoying 
::Fusheng ::141 ::Lai ::CarterBZ91 
::HeS06 ::Clement ::522 ::Gabriel 
::Mukesh ::1126 ::Hao ::Revisited 
::1584 ::TataFS06 ::ChaudhuriDMN01 ::YangPPK08 
::Harumoto ::IC ::Cubing ::Guy 
::4497481 ::1249 ::AmzaCZ05 ::Sheth 
::4497482 ::73 ::AbiteboulK89 ::Skippy 
::Kwietniewski ::BargaL01 ::22850032abs ::673 
::Nishio ::Diagnosis ::Sevcik ::Protecting 
::Edoardo ::WhiteDJ96 ::Histograms ::Erhard 
::Linkage ::LiuC08 ::716 ::332 
::MartinGH08 ::Jagan ::Eltabakh ::Luigi 
::BilirisO93 ::Manolescu ::312 ::Mirek 
::Gehrke06 ::Russakovsky ::61 ::LeeCLNS94 
::Qi ::Cross ::487 ::843 
::UchiyamaOH05 ::Lossy ::Ahmad ::Categorical 
::Srikanta ::Amarnath ::Ugur ::4497504 
::Wai ::Prototyping ::Yueguo ::KonopnickiS95 
::Isaac93 ::Petko ::Exploring ::Filtering 
::Identifiers ::22851048abs ::BlaumBBM94 ::Hoare69 
::230 ::Per ::Grouping ::Dasgupta 
::Internal ::Gong ::Arai ::Computation 
::PattersonBA08 ::Thu ::Grosky ::Janine 
::386 ::255 ::Bosworth ::LeeHL08 
::Duplicates ::Naga ::Hristidis ::Cluster 
::Schneider05 ::Precision ::22850828abs ::Coordinated 
::Johann ::BANKS ::Mayur ::Interacting 
::584 ::313 ::Supply ::LangOKT98 
::B ::LeungMSVVZ93 ::4497434 ::Lei 
::KuwabaraT05 ::EllisGR91 ::Antoshenkov93 ::Monica 
::1560 ::Expressions ::15310327 ::912 
::zden ::Prediction ::91 ::Dyreson 
::JVM ::BabuMWM05 ::Networked ::4497478 
::Attribute ::Walid ::Objective ::Guan 
::Processor ::Mannila ::AbiteboulQMWW97 ::22851073abs 
::P252 ::Jinze ::106 ::CobenaAM02 
::YangPPK08 ::Mukherjea ::ChiS05 ::Hu 
::Anonymous ::75 ::Mourad96 ::Maier83 
::Maged ::Neel ::1043 ::276 
::458 ::WangY02 ::YiJF98 ::KasneciSIRW08 
::Floris ::Lun ::Nikolaus ::KauT94 
::Extension ::P568 ::430 ::Parties 
::BanerjeeC96 ::Protection ::Amol ::22851120 
::113 ::SavasereON98 ::Stratos ::Unified 
::Umeshwar ::Ertem ::78 ::Overview 
::VlachosGK02 ::Optimization ::1296 ::fledged 
::LowTLL02 ::Bajpai ::Quality ::Scaling 
::Ayad ::225 ::YinC05 ::FarragO89 
::415 ::as ::Lutz ::Kriegel 
::Vassiliadis ::WhiteJ96 ::Anurag ::Weihl87 
::HiWaRPP ::4497405 ::Iceberg ::JaberV06 
::Q ::Arbitrary ::Mlivoncic ::Interface 
::Yuelong ::22850162abs ::Ferlez ::546 
::ke ::Zhuge ::COUNT ::Chan 
::HjelsvoldM94 ::Balter ::FukudaMMT96 ::WachterR92 
::4497505 ::SeltzsamGKK06 ::577 ::297 
::914877 ::Agrawal ::Rosenthal ::Vlachos 
::RoschGL08 ::Faloutsos ::Uchiyama ::ZhaoDN97 
::Vehicle ::Hutchison ::4497403 ::Qiao 
::P342 ::412 ::WangYM01 ::Manuel 
::1384 ::Primary ::Marios ::Time 
::Dirty ::Rajeev ::1453 ::YiuJHL08 
::Christine ::Incomplete ::booktitle ::15310419abs 
::525 ::Gorman ::Objective ::Salvatore 
::NakanoIK98 ::Windhouwer ::IlyasA05 ::595 
::Periods ::Cornelius ::Yao ::aw 
::Habich ::Gravano ::Naphtali ::Click 
::LiuP95 ::Hiroyuki ::FukudaMMT96 ::DBMSs 
::15310268 ::22850446abs ::DB ::HowardKMNSSW88 
::CQ ::Elements ::Spannagel ::GravanoGT94 
::15310567abs ::Power ::MOOLAP ::1331 
::22850434abs ::Basit ::SpaceTwist ::NieWWM06 
::Abul ::Uemura ::ShethR93 ::once 
::Filtered ::Approximation ::Multi ::205 
::Bruce ::Translation ::Sayal ::337 
::Werner ::Seltzsam ::ride ::15310201abs 
::Freeston95 ::HinterbergerMG94 ::Visual ::osdi 
::Zurek ::1129 ::Influence ::Braynard 
::15310323 ::AliZTK08 ::Distribution ::Yoshinari 
::Wolski02 ::Placement ::Fits ::Bukhres 
::Protecting ::Utkarsh ::icdt ::FernandezFLS97 
::1200 ::debu ::Simmen ::Rittinger 
::Kashyap ::491 ::Combining ::Shivnath 
::Cost ::KoblerBCH95 ::Vassilios ::Il 
::1147 ::Complex ::from ::Lorenzo 
::ShenSCT06 ::Minghua ::1518 ::BunemanDS95 
::Venkataraman ::KrishnamurthyKN05 ::Tu ::Kashima 
::AlonsoBPHK01 ::WuEDCKAS08 ::Kanagal ::BargaP95 
::338 ::360 ::Bertino ::Hailong 
::FernandezA02 ::Whitley ::SrivastavaDJL96 ::Ouri 
::AnciauxBHPA08 ::RastogiS98 ::Naomi ::Inventing 
::tree ::MaierS86 ::Human ::P154 
::Gregory ::Han ::Reordering ::Velegrakis 
::Stockinger ::YangL01 ::914858 ::1592 
::410 ::WangPY05 ::310 ::Bhattacharya 
::Antti ::Hacigms ::GriffinL95 ::Ying 
::1492 ::P259 ::865 ::15310280 
::296 ::SchroederHINW06 ::Hierarchies ::HorwitzT86 
::Naphtali ::LuoNE02 ::Chin ::Regular 
::Felix ::261 ::Messaging ::169 
::Pawel ::Assuring ::Sndor ::Parallelism 
::Patel ::255 ::Wynne ::Cordova 
::Cherniack ::tree ::Koubarakis ::Wavelets 
::600 ::15310605abs ::Fathima ::Postgres 
::Art ::Integration ::732 ::Tadashi 
::22850471abs ::1324 ::Stefani ::SeshadriLR97 
::Windows ::Bhattacharya ::Le ::Decayed 
::Yufei ::Optimization ::Petko ::Class 
::SiL96 ::914858 ::Hull ::Campen 
::Kishiko ::ZhangTS02 ::Hyon ::914861 
::914851 ::avi ::270 ::WebFountain 
::X05o ::Girish ::Operators ::acr 
::SuleimanCF98 ::IshikawaSKMMIAY93 ::STAG ::1537 
::Right ::Sinha ::Clusters ::NgH94 
::Snapshots ::DSI ::Performance ::1540 
::Pathak ::Manish ::Mansuri ::103 
::YangWWY02 ::Sachindra ::KuskinOHHSGCNBHGRH94 ::Approximated 
::22850310abs ::Nobutoshi ::Interval ::Cormode 
::Latanya ::AgrawalS89 ::Eket ::BANKS 
::Out ::Yasushi ::HacigumusMI02 ::BirdCDLZ06 
::CareyHMW96 ::Random ::4497495 ::446 
::149 ::Alomari ::Uchiyama ::Feedback 
::Faster ::Employing ::Fully ::Gong 
::1474 ::Fatma ::Device ::Ramamritham 
::Middleware ::Interactive ::and ::791 
::Luk ::Bulk ::LinD98 ::Bestavros 
::ieeecomputersociety ::Nested ::Ge ::Kwietniewski 
::Cheong ::528 ::Xiaolei ::Passing 
::Cerquitelli ::DeRose ::Young ::Rajeev 
::FaloutsosBFHNPE94 ::320 ::Development ::Davood 
::412 ::ThuraisinghamHRM98 ::Relation ::Economically 
::Gryz ::Implicated ::1325 ::Rohit 
::Radwan ::EmekciAAG06 ::204 ::Hsu95 
::Interfaces ::Jerry ::1053 ::Determine 
::Xin ::SistlaYLL95 ::FLAME ::RuemmlerW93 
::adl ::Liang ::Jeff ::FLWOR 
::Stacy ::Ipeirotis ::Schiefer ::BINGO 
::TelegraphCQ ::Reorganization ::Gunther93 ::Multivariate 
::Authentication ::Schemes ::Brenninkmeijer ::Bing 
::Inclusion ::Synchronization ::RAIDs ::Sayed 
::914823 ::Energy ::22850939abs ::h 
::Algebra ::4497532 ::440 ::524 
::Alberto ::Cheng ::IWill ::LieuwenD91 
::Mapping ::Fits ::PietzuchLSRWS06 ::Song 
::914859 ::Sndor ::KornMW06 ::Principled 
::P532 ::Recovery ::914838 ::Terminological 
::Matrix ::ChuDHH06 ::Zhai ::Ramamohanarao 
::Vana ::WilkesGSS96 ::1540 ::Aravind 
::WWW ::1073 ::Amit ::McCannSD08 
::KappelS91 ::903 ::LiaoLL01 ::GravanoGT94 
::Inverted ::Katayama ::Prakash ::22851126abs 
::Galt ::NehmeRB08 ::1170 ::Justin 
::Fault ::Alexandros ::Arno ::Shahan 
::CormodeKMW08 ::ChanSL98 ::Burst ::CoT 
::LudascherGM01 ::Nogayama ::4497413 ::Greco 
::4497607 ::WilkinsonN90 ::BernsteinN96 ::4497487 
::Mendez ::WuCL08 ::Saake ::9 
::832 ::Cart ::Trajectory ::Morishima 
::VeeSSBA08 ::Russakovsky ::Rogers ::Chin 
::LawrenceB02 ::Methodical ::JVM ::TataFS06 
::4497460 ::processing ::22850258abs ::rtdb 
::Alexandros ::JainS94 ::Johnson ::Rasin 
::Jos ::22851144 ::P284 ::Subramanian 
::Wiwatwattana ::Si ::Rys ::XuLTW06 
::Web ::15310201abs ::Erdem ::tse 
::Cloud ::1381 ::Corey ::1513 
::PapadimitriouRR94 ::Region ::domain ::Tsuyoshi 
::Musicant ::Malaika ::onWeb ::1525 
::15310265 ::Tuan ::Bursty ::Autonomous 
::Anonymous ::Stonebraker86 ::4497477 ::Johnson 
::121 ::Shared ::Jia ::Smodels 
::AggarwalY98 ::DewriRRW08 ::Sevcik ::Location 
::Hiroshi ::914817 ::Seluk ::1608 
::Kun ::4497464 ::Georgiadis ::Space 
::GuPYC08 ::1361 ::SubrahmanianJ96 ::Arvind 
::Toward ::bncod ::Enterprise ::cj 
::ssdbm ::Naacke ::22851120 ::593 
::15310329 ::Bicer ::4497442 ::Cabibbo 
::Dynamic ::Sanghyun ::Sets ::MoerkotteN08 
::Gyllstrom ::Serap ::ShivakumarG95 ::Spiekermann 
::Constant ::Milan ::sup ::Middleware 
::Hull ::7 ::Adlib ::ZhangRL96 
::Natix ::15310117abs ::557 ::Brian 
::1429 ::P180 ::WuAA02 ::Three 
::Wlodek ::Houman ::Petko ::Stephanie 
::CasatiCPP95 ::org ::Masatoshi ::Yongqiang 
::toplas ::French ::22850978abs ::Extended 
::Mayfield ::146 ::csur ::Qili 
::257 ::Stella ::Stefani ::Wendy 
::4497441 ::724 ::Jabeen ::Production 
::1345 ::Tomography ::Alexey ::Schlimmer93 
::XParent ::LiuP98 ::Apurva ::JagadishMS95 
::BurdickCG01 ::Pham ::Bhm ::Specification 
::rtdb ::2000 ::193 ::Michal 
::HenrichSW89 ::Randal ::1950 ::Ganti 
::Amit ::Marios ::THALIA ::MalinS06 
::Raman ::MIX ::Juliana ::BergD95 
::Ammar ::Publish ::Hu ::JagadishMR98 
::LakshmananSGK98 ::Projected ::Ursino ::Hendrik 
::Yiheng ::Labeled ::ECA ::Kraus 
::Govindarajan ::Sanghyun ::LiebermanSS08 ::187 
::4497612 ::Markus ::Schek ::4497437 
::KonigN06 ::932 ::compgeom ::dblp 
::Tuples ::Reorganization ::Mirco ::217 
::once ::KochSS08 ::ChenJKKMNS01 ::600 
::Ladin ::1603 ::324 ::15310492 
::1599 ::Arie ::MeoPC98 ::Third 
::AgrawalJKL06 ::NussbaumerPSS95 ::Silberschatz ::level 
::22850516abs ::628 ::Olteanu ::Di 
::KiferKS92 ::10010143abs ::Adriana ::Places 
::Its ::Bartlett81 ::Shifting ::KeCN06 
::FaloutsosB93 ::ObermeierBHCS08 ::Perego ::BargaP95 
::Consens ::22851129abs ::ChuaR95 ::914835 
::LiOW08 ::YangP08 ::1072 ::Intelligent 
::Valduriez87 ::744 ::Murat ::SilbersteinHYY05 
::Top ::Lewis ::1297 ::Arnold 
::LeeE01 ::partite ::PajarolaOSSW98 ::Smriti 
::Charu ::sub ::PuHK06 ::GruenwaldBP06 
::GyssensLS96 ::Katayama ::22850631abs ::4497620 
::ShaoNS05 ::Xuqing ::Georgakopoulos ::Diagnosing 
::Itemset ::Guoyu ::517 ::P054 
::Kristen ::LiZBSZN06 ::sosp ::Managed 
::Shamkant ::ZhangRL96 ::Weber ::Result 
::Skeen ::22851148abs ::data ::MannilaR87 
::622 ::188 ::606 ::Shuai 
::Aaron ::Liang ::Lineage ::266 
::JagadishMS95 ::Decayed ::DennyF06 ::PuL91 
::20 ::4497537 ::Uemura ::Janine 
::Orlando ::GhaffarA97 ::914824 ::914828 
::Nail ::P276 ::Changes ::22850878abs 
::Cheong ::Nimrod ::Effective ::Tears 
::Lung ::QShuffler ::Be ::Shouxu 
::Randal ::Charu ::Shinn ::ZhangLXKW06 
::Tiancheng ::Meisen ::22850186abs ::MahajanDNAM98 
::Sanjeet ::mm ::1159 ::Over 
::P241 ::Ramon ::12 ::Parallelizing 
::Imprecision ::Based ::22850483 ::Composite 
::Channels ::Schiefer ::And ::SPP 
::88 ::BlossomTree ::Lorenzo ::Pedersen 
::Pessimist ::Roelof ::56 ::Siva 
::For ::Added ::Numeric ::MAFIA 
::403 ::Preemptive ::Meisen ::1628 
::Weddell92 ::Gedik ::Balachander ::Tran 
::Cornelius ::Coordinate ::Kubota ::15310166abs 
::SolworthO91 ::ONeil87 ::Extremely ::205 
::Alone ::1426 ::Elegant ::Prakash 
::Hanyu ::4497466 ::Big ::StromY85 
::GardarinST96 ::309 ::Range ::Wombacher 
::398 ::Neighbors ::22850767abs ::Ledlie 
::ChenLL08 ::22851013abs ::282 ::Ku 
::ZhangOAI06 ::Kornel ::22851109abs ::WangLPAM06 
::585 ::GriffithsFPJDM05 ::NAGA ::ChandraV85 
::Associations ::Melanie ::Supporting ::Sivasubramaniam 
::Rajagopalan ::GrahneLWX01 ::Earth ::GyllstromADI08 
::1421 ::algorithmica ::1547 ::FarfanHRB08 
::Dirty ::Jakob ::Pawel ::Voronkov 
::Enforce ::Combining ::Halevy ::Inventing 
::DasguptaGJSV05 ::Alps ::4497626 ::Scheduling 
::15310543abs ::Internet ::Integration ::DUP 
::87 ::Client ::Afanasiev ::Ashraf 
::1462 ::SilbersteinBEMY06 ::Keidl ::Redmond 
::AdibaL80 ::104 ::Nan ::JensenLOZ06 
::Rinku ::LiL08 ::MD ::siamcomp 
::Katsumi ::Authoritative ::Ji ::396 
::Space ::Alper ::Huahai ::914813 
::1123 ::Vclav ::Omiecinski ::Seidl 
::JohnsonS97 ::DewriRRW08 ::Kam ::Mauroux 
::LeymannR97 ::Souripriya ::RastogiS98 ::Shirley 
::Mario ::Dongwon ::4497464 ::Graphical 
::PostgreSQL ::Krompass ::Verma ::Mostafa 
::Luo ::Simon ::Author ::Cattell96 
::Gruenwald ::Wang ::AilamakiGM06 ::KornackerB95 
::Minos ::ChenDZ06 ::842 ::All 
::FernandezFLS97 ::Brian ::Mauroux ::PudiH02 
::410 ::CallanLC95 ::Patterns ::2285 
::Ioannis ::YiJF98 ::Jagadish ::Emmanuel 
::Widmayer ::Fatma ::1286 ::Network 
::Mauricio ::Stephen ::8i ::XGuard 
::Ramakrishna ::Antonios ::Scrutinizing ::22850742abs 
::Relations ::4497534 ::JiangLWY02 ::Demand 
::Roger ::Expression ::Pearson ::Herbert 
::OCallaghanMMMG02 ::SaltonWY75 ::Maxim ::Georgia 
::Enderle ::15310093abs ::Inferring ::Transfer 
::4497607 ::853 ::Xuemin ::ChenSZ05 
::CormodeKT08 ::4497557 ::Mengsheng ::475 
::Mourad ::Design ::Surna ::Coupling 
::Electronic ::Hieu ::CuiLXCDZ08 ::Product 
::Theory ::939 ::PinarTF05 ::Alonso 
::acr ::Zadeh65 ::424 ::ChenHS02 
::tree ::Cudre ::Alternative ::KornackerMH97 
::Wavelet ::ChaudhuriDK06 ::Bhalotia ::Exploration 
::10010121abs ::Correctness ::de ::OptimAX 
::Authentication ::Scrutinizing ::ChangSZS97 ::1473 
::LivnyRBCDLMW97 ::Vassalos ::BouganimFPV01 ::Elmagarmid 
::Edison ::Jian ::Transactions ::873 
::Integratio ::Saydean ::Nisheeth ::4497475 
::1433 ::Density ::Martin ::SizovSTW02 
::Psaila ::Comer79 ::Fischmann ::Snodgrass95 
::Aritsugi ::78 ::KhoussainovaBS08 ::ZhouTZ06 
::Esther ::876 ::Sachindra ::BlakeleyLT86 
::Mohammad ::Schubert ::Zwaenepoel ::Signatures 
::Akshat ::GubanovBM08 ::Primitive ::CastellanosBR08 
::Simmen ::110 ::22850549 ::Ntoulas 
::SchenkelTW05 ::Katayama ::DeligiannakisSKVD08 ::22850285abs 
::PeiHL01 ::205 ::BohannonFRS02 ::JohnsonMSS08 
::1402 ::Bhm ::PHASME ::Feida 
::Netz ::22851126abs ::Roussopoulos ::SayalCDS02 
::Farnoush ::Hae ::Migration ::MaurouxAF06 
::Wenning ::Hyon ::Idea ::Jure 
::Alps ::Bartlett81 ::914824 ::Very 
::Optimizations ::Patterson ::4497636 ::524 
::HwangC05 ::Franoise ::Adaikkalavan ::SAP 
::Fung ::1136 ::Ugur ::Gal 
::Ugur ::00 ::Ranganathan ::Road 
::410 ::8 ::MudumbaiSSPB98 ::346 
::Torlone ::Ganesan ::PopekK79 ::Confidence 
::er ::Sun ::Closest ::TaninHS05 
::Tufte ::15310280 ::Failure ::1441 
::654 ::Scripting ::Skylining ::Cahill 
::Ellis ::P392 ::R ::Murugesan 
::FarfanHRB08 ::AlonsoBPHK01 ::GeertsKM06 ::15310081abs 
::242 ::616 ::B ::Neighborhood 
::relational ::SkytJP02 ::Leveraging ::SirbuT95 
::Polyviou ::Interpretation ::Jacobsen ::15310500 
::Kristal ::Wesley ::Whang ::Sliding 
::CobenaAM02 ::Laks ::NFMi ::Crowley 
::1388 ::Zukowski ::Tryfonopoulos ::753 
::Cerquitelli ::Spannagel ::PF91 ::AnciauxBHPA08 
::1387 ::Halpern ::153 ::22850174abs 
::Sandra ::Moss ::1600 ::Lieuwen98 
::RantzauM06 ::Velegrakis ::Braumandl ::Anant 
::KreveldO91 ::internet ::Don ::MalinAEL05 
::Jr ::Jagadish ::Large ::GaoZCLLC08 
::Communication ::763 ::Tanaka ::15310529abs 
::Power ::Indexed ::198 ::1494 
::Lal ::Houman ::Richard ::icdt 
::Ninghui ::Unified ::Aggarwal08 ::DesslochHWRZ08 
::ChenDER05 ::Join ::LianCY08 ::Papaemmanouil 
::914846 ::ChuaR95 ::Bentley80 ::654 
::Wei ::Ramakrishnan08 ::Norman ::4497487 
::264 ::Commodity ::Billing ::Shared 
::SchroederHINW06 ::Overview ::1062 ::Wenxin 
::EggersOS81 ::Dilys ::Make ::GounarisPSFSW06 
::MogiK96 ::Ganesan ::Klinginsmith ::1534 
::Among ::Error ::Answers ::What 
::Chih ::Overview ::Randal ::GhaffarA97 
::Moshe ::Tryfonopoulos ::Philip ::Sarvjeet 
::FaloutsosK94 ::15310245abs ::P324 ::22850384abs 
::Hajj ::Srivastava ::1623 ::804 
::Roger ::Density ::Zadrozny ::AgrawalJKL06 
::Muse ::Sistla ::L ::4497458 
::Apers ::HjelsvoldM94 ::Bausch ::Stella 
::Gyllstrom ::Editor ::Kristal ::Shared 
::Online ::Min ::Crowd ::22850188 
::1382 ::Gao ::546 ::MadhavanBDH05 
::Demand ::Zhao ::22850502abs ::Narasayya 
::Kee ::Darrell ::Francesco ::Aggregation 
::mg ::JigyasuBBCDMT06 ::Stefanakis ::15310129abs 
::Idea ::392 ::4497599 ::Kasneci 
::column ::Prasan ::346 ::Candan 
::Harchol ::RFID ::4497481 ::Split 
::320 ::Maarten ::1319 ::Shyu 
::4497494 ::LoR94 ::1537 ::358 
::Rasin ::Katayama ::1426 ::Beyond 
::ThomsenPL08 ::Mlivoncic ::1355 ::Jeonghee 
::Sihem ::914861 ::SchenkelTW05 ::ViEWNet 
::Shyu ::SarawagiS96 ::YiJF98 ::Zhaohui 
::Ramakrishnan08 ::ZhangYST06 ::Kraus ::Mong 
::Did ::Lightweight ::Korolova ::176 
::Scannapieco ::Lead ::22850106abs ::Members 
::308 ::982 ::Venkataraman ::Be 
::Scene ::DuKS92 ::Kambhampati ::473 
::Calders ::1482 ::AgrawalBGKLR05 ::SheuW06 
::Yuanyuan ::528 ::BunemanDS95 ::22851024abs 
::Bravo ::636 ::Jignesh ::CuiLXCDZ08 
::Lingzhi ::Roitman ::Lyman ::RAD 
::22850533abs ::ZhangOAI06 ::1414 ::Services 
::be ::Self ::Silva ::Fusheng 
::PapakonstantinouGU96 ::Sanjay ::Histogram ::Guttman84 
::Jigsaw ::streams ::901 ::mm 
::Explicit ::ShengHL06 ::Kamath ::BrinkhoffKS93 
::Shin ::22850656abs ::Richard ::22850032abs 
::Jianyong ::Stefan ::Signature ::Pushing 
::Terracina ::Airoldi ::165 ::Visualization 
::Getting ::Designing ::Torp ::AslandoganTYZR97 
::Dittrich ::Provenance ::Pryakhin ::Counting 
::4497520 ::Gauss ::GeZ08 ::Shoshani 
::Click ::Tight ::4497635 ::Melnik 
::Vassilios ::512 ::Cluster ::P297 
::Replacement ::CocciTDS08 ::Knuth73 ::IvanovaKN08 
::Burdick ::Deshpande ::Business ::Computation 
::Bhalotia ::22850878abs ::Efficient ::Availability 
::Wee ::ICDE98 ::Joachim ::295 
::Naughton ::Prasan ::Reorganization ::228 
::914850 ::Vassiliadis ::Ming ::Reducers 
::AlexanderR06 ::Bongki ::Shirani ::Vijayalakshmi 
::lisa ::BOXes ::Projected ::4497478 
::aw ::LeeMCC02 ::332 ::Zachary 
::Broadcast ::Guha ::WangBTD08 ::Aoki98 
::LiuYT05 ::514 ::PinarTF05 ::Calisto 
::Sistla ::383 ::WangRL08 ::4497436 
